substrate,base,fluoride,yield
OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2Cl,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.67
OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2Cl,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.73
OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2Cl,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.46
OCC1CCCCN1CCCC2=CC=CC=C2,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.06
OCC1CCCCN1CCCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.07
OCC1CCCCN1CCCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.08
OCC1CCCCN1CCCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.08
OCC1CCCCN1CCCC2=CC=CC=C2,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.1
OCC1CCCCN1CCCC2=CC=CC=C2,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.21
OCC1CCCCN1CCCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.18
OCC1CCCCN1CCCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.22
OCC1CCCCN1CCCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.2
OCC1CCCCN1CCCC2=CC=CC=C2,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.23
OCC1CCCCN1CCCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.26
OCC1CCCCN1CCCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.17
OCC1CCCCN1CCCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.28
OCC1CCCCN1CCCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.27
OCC1CCCCN1CCCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.3
OCC1CCCCN1CCCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.27
OCC1CCCCN1CCCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.16
OCC1CCCCN1CCCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.31
OCC1CCCCN1CCCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.28
OCC1CCCCN1CCCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.36
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.03
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.11
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.83
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.02
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.04
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.12
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.79
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.05
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.12
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.89
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.03
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.01
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.12
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.22
O[C@@H]1C[C@@H](C1)OCC2=CC=CC=C2,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.82
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.23
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.4
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.47
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.55
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.76
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.34
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.41
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.6
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.65
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.88
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.3
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.39
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.47
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.55
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.79
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.46
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.49
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.58
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.56
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.82
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.25
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.45
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.41
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.48
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.59
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.3
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.4
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.47
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.48
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.74
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.29
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.39
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.39
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.4
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.64
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.3
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.33
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.33
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.32
O=C(OC)[C@H]1N(C(OC(C)(C)C)=O)C[C@@H](O)C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.58
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.65
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.8
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.7
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.0
O[C@H]1[C@@H](O2)[C@@H](OC2(C)C)O[C@@H]1[C@@H](CO3)OC3(C)C,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.7
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.0
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.01
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.03
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.07
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.91
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.02
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.03
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.07
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.14
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,1.05
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.02
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.02
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.06
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.12
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.97
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.08
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.05
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.23
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.3
O[C@H]1[C@@]([H])(OC[C@@H]2OC(C)=O)[C@]2([H])OC1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,1.06
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.01
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.01
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.05
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.12
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.4
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.02
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.03
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.06
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.12
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.48
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.02
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.02
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.05
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.11
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.5
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.02
O=C1C2=C(C=CC=C2)C(N1[C@H]3CC[C@H](O)CC3)=O,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.02
